"","Distrito","Dirección","Tipo de Inmueble","Descripción","Habitaciones Disponibles","Precio Mensual","Notas","driving.time","driving.metros","walking.time","walking.metros"
"1","Bologna","Piazza Massa Carrara","Appartamento","Ingresso, doppio soggiorno, cucina, tre camere, 2 bagni","1 singola","€ 500; spese escluse","DISPONIBILE DAL 1° Aprile per ragazze Metro B Bologna","13118","383765","287245","380715"
"2","Bologna","Via Gatteschi","Appartamento","Ingresso/soggiorno, 2 camere, cucina, 2 bagni","1 singola con bagno privato","€ 400 TUTTO INCLUSO","DISPONIBILE DALL'11 MARZO per ragazzi/e APT DA CONDIVIEDERE CON LA PROPRIETARIA","13239","369713","289779","382607"
"3","Bologna","Via Gatteschi","Appartamento","Ingresso/living, 1 camera, bagno","Intero Appartamento","€ 850; spese escluse","disponibile per ragazze/i Autobus","13239","369713","289779","382607"
"4","Pigneto","Via Giovanni De Agostini","Appartamento","ingresso, 2 camere, cucina, bagno","1 doppia e/o uso singola","€ 450; € 300 a posto letto; condominio, acqua, riscaldamento, internet inclusi","disponibile dal 1° Marzo per ragazze Autobus e Tram","13549","400889","320631","424226"
"5","Pigneto","via Prenestina","Appartamento","Ingresso/corridoio,cucina, sala da pranzo, 3 camere, bagno, internet","2 singole","€ 450; € 450; € 55,00 per le spese","DISPONIBILE DAL 3° MARZO E DAL 14° MARZO per ragazze Autobus e Tram","1010","19855","9845","13129"
"6","Pigneto","via Padre Raffaele Melis","Appartamento","Ingresso, cucina/living, camera, bagno","Intero appartamento","€ 650; spese escluse","disponibile per ragazzi/ragazze Autobus, Tram","1241","13716","6460","8731"
"7","Batteria Nomentana","via di Sacco Pastore","Appartameno","Ingresso, 2 camere, cucina, bagno","1 doppia e/o uso singola","€ 450; € 250 a posto letto; spese escluse","disponibile per ragazze Autobus e Tram","627","7049","2717","3633"
"8","Batteria Nomentana","Via Val d'Ossola","Appartamento","Ingresso/salone doppio, 3 camere, cucina,
2 bagni","1 singola con bagno privato","€ 500 Tutto incluso","disponibile per ragazze Autobus e Tram DA CONDIVIDERE CON LA PROPRIETARIA","654","7201","2998","4014"
"9","Batteria Nomentana","Via Valsassina","Appartamento","Ingresso, cucina, 4 camera e 2 bagni.","2 singole","€ 450; condominio e acqua inclusi","disponibile per ragazzi/ragazze Autobus e Tram","22444","646523","488218","652582"
"10","San Giovanni","Via Dacia","Appartamento","Ingresso, disimpegno, cucina, 3 camere bagno","1 singola; 1 doppia;","€ 550 singola, € 350 posto letto TUTTO INCLUSO","DISPONIBILE dal 1° MARZO per ragazzi/ragazze Metro A San Giovanni-Re di Roma","1358","13784","6928","9272"
"11","San Giovanni","Gallia","Appartamento","Ingresso, cucina, camera matrimoniale, bagno","Intero Appartamento","€ 1300 TUTTO INCLUSO","Disponibile per ragazzi/ragazze Metro A San Giovanni-Re di Roma","21084","564675","413281","549734"
"12","San Giovanni / Re di Roma","Via Anglona","Appartamento","Ingresso con cucina/living, 2 camere, bagno","2 singole","€ 500; condominio, acqua, tassa rifiuti e internet inclusi","Disponibile per ragazzi/ragazze Metro A Re di Roma","1257","9200","4390","6021"
"13","San Giovanni / Ponte Lungo","Via Macedonia","Appartamento","ingresso, 4 camere, cucina, 2 bagni","2 singole","€ 400; spese escluse","Disponibile dal 1° Marzo e dal 1° Aprile per ragazze Metro Aponte Lungo","1467","14559","7509","10042"
"14","Africano","Via Endertà","Appartamento","Ingresso, disimpegno, cucina, 4 camere, 2 bagni","1 singola","€ 450; condominio, acqua, riscaldamento inclusi e tassa rifiuti inclusi","disponibile per ragazze Metro B1 Libia","18638","539716","365159","492723"
"15","Africano","Via Tripolitana","Appartamento","Ingresso, salotto, cucina, 2 camere, bagno e ripostiglio","1 posto letto","€ 300; condominio incluso","disponibile da febbraio a settembre per ragazze Metro B1 Libia","29373","745108","301442","667526"
"16","Africano","Via Filippo Marchetti","Appartamento","Ingresso, cucina, 4 stanze, 2 bagni","4 singole","€ 460; € 460; € 430; € 430; condominio e riscaldamento inclusi","disponibile per ragazzi/ragazze Metro B1 Libia","11230","307779","193043","253559"
"17","Montesacro","via Pantelleria","Appartamento","Ingresso, 2 camere, cucina, bagno, disimpegno, balcone","1 singole","€ 450; condominio, acqua e tassa rifiuti inclusa","disponibile per ragazze Metro B1 Jonio","635","6461","2441","3382"
"18","Montesacro","via delle Alpi Apuane","Appartamento","Ingresso/corridoio, 5 camere, 3 bagni, cucina, sala da pranzo, balconcino","2 singole","€ 450; € 400; € 50/mese condominio e riscaldamento","disponibile per ragazzi Autobus e Tram","894","7934","3144","4310"
"19","Montesacro","via Giovanni Conti","Appartamento","Ingresso, corridoio, cucina abitabile, 4 camere, 2 bagni, ripostiglio, internet","1 doppia","€ 260 posto letto; spese escluse","disponibile per ragazzi Metro B1 Jonio","661","6352","2607","3591"
"20","Montesacro / Nomentano","Via Cimone","Monolocale","camera, angolo cottura, bagno, ampiio terrazzo","Intero Appartamento","€ 700; condominio, acqua a etassa rifiuti inclusi","disponibile per ragazzi/ragazze Autobus e Tram","16307","379457","297180","392296"
"21","Centro / Manzoni","via Alfieri int. 8","Appartamento","Ingresso, soggiorno, 3 camere, cucina/living, bagno","3 singole","€ 475; € 525; € 575; TUTTO INCLUSO","camera da € 475 e da € 525 disponibile dal 1° Marzo per ragazzi/ragazze Metro A Manzoni Metro B Cavour","19112","572280","437407","584556"
"22","Centro / Manzoni","via Alfieri int. 11","Appartamento","Ingresso, 3 camere, cucina/living, bagno","2 singole","€ 525; € 575; TUTTO INCLUSO","disponibile dal 1° Marzo per ragazzi/ragazze Metro A Manzoni Metro B Cavour","19114","572302","437391","584534"
"23","Centro / Manzoni","via Alfieri int. 12","Appartamento","Ingresso, soggiorno, 3 camere, cucina/living, bagno","3 singole","€ 475; € 525; € 575; TUTTO INCLUSO","camere da € 475 e da € 575 disponibile dal 1° Marzo per ragazzi/ragazze Metro A Manzoni Metro B Cavour","19115","572307","437387","584529"
"24","Prenestino","Via Silvio Benco","Appartamento","Ingresso, cucina, 3 camere, 1 bagno","3 singole","€ 380; €380; € 350; internet incluso","disponibile per ragazzi/ragazze Autobus e Tram Metro C","1143","12839","6537","8663"
"25","Prenestino","Roberto Sanseverino","Appartamento","Ingresso, 2 camere, cucina, bagno, ristrutturato","1 singola","€ 450; spese escluse","disponibile per ragazzi/ragazze Autobus e Tram","1143","12919","6498","8633"
"26","Prenestino","Via Girolamo Cocconi","Appartamento","Ingresso, cucina, soggiorno, 3 camere, bagno","3 singole","€ 400; € 420; € 380; condominio e acqua inclusi","Disponibile dal 1 FEBBRAIO per ragazzi/ragazze Autobus e Tram","1170","12421","6966","9262"
"27","Casilina / Tuscolana","Piazza Giuseppe Cardinali","Appartamenti","Ingresso/corridoio, cucina, 4 camere, bagno","2 singole","€ 350; spese escluse","disponibile per ragazzi/ragazze Autobus e Tram","1447","14612","7873","10528"
"28","Centocelle / Don Bosco","via Mario Lizzani","Appartamento","Ingresso/corridoio, cucina, 4 camere, sala da pranzo, bagno, bagno di servizio","4 singole","€ 300; spese escluse","disponibile per ragazzi/ragazze Metro C Centocelle Autobus e Tram","1585","26069","9286","12468"
"29","Centocelle","Via delle Palme","Appartamento","Ingresso, cucina, 2 camere, bagno","1 singola","€ 350 TUTTO INCLUSO","disponibile per ragazze Metro C Centocelle Autobus e Tram","1303","13212","7432","9945"
"30","Tor Sapienza","Piazza Cesare de Cupis","Appartamento","Ingresso, cucina living, 2 camere, bagno, ripostiglio, termo autonomo","Intero appartamento","€ 600; condominio incluso","disponibile per ragazzi/ragazze Autobus e Tram","1112","19610","8540","11552"
"31","Ardeatino","Via dei Georgofili","Appartamento","Ingresso/soggiorno, 4 camere, cucina abitabile, 2 bagni","1 Singola / uso doppia","€ 450 singola; € 250 posto letto; condominio e riscaldamento inclusi","disponibile per ragazze Metro B San Paolo Autobus 716 - 766 -770","1823","17662","9372","12463"
"32","Ardeatino","Via delle Accademie","Appartamento","Ingresso, cucina/living, 2 camere, cucina, 1 bagno","1 posto letto","€ 300; spese escluse","disponibile per ragazze Metro B San Paolo Autobus 716 - 766 -770","1811","18024","9397","12490"
"33","Ardeatino","Via San Roberto Bellarimino","Appartamento","Ingresso, soggiorno, 3 camere, cucina, 2 bagni","1 singola","€ 350; spese escluse","disponibile per ragazzi/ragazze Metro B San Paolo Autobus 716 - 766 – 770","1888","41493","10311","13781"
"34","Ardeatino","Via Cristoforo Colombo","Appartamento","Ingresso, 4 camere, cucina, bagno","1 singola","€ 430; condominio, acqua e riscaldamento inclusi","disponibile per ragazzi Metro B San Paolo Autobus 716 - 766 – 770","1695","17100","9004","11975"
